"","Row.names","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","entrez","symbol","chr","start","end","strand","biotype","description"
"472","ENSG00000123562",5008.55293511073,1.0045453235593,0.0890150093829379,11.2851229306487,1.55424145134625e-29,1.12090413241138e-26,9643,"MORF4L2","X",103675496,103688158,-1,"protein_coding","mortality factor 4 like 2 [Source:HGNC Symbol;Acc:HGNC:16849]"
"720","ENSG00000144369",1283.77979687001,-1.30900413721808,0.117148631900416,-11.1738747263461,5.4739737574782e-29,3.76833329804578e-26,165215,"FAM171B","2",186693971,186765965,1,"protein_coding","family with sequence similarity 171, member B [Source:HGNC Symbol;Acc:HGNC:29412]"
"1286","ENSG00000196517",241.91536257078,-2.34568773034067,0.210473662850044,-11.1448040509082,7.59112008235958e-29,4.99858754988417e-26,6536,"SLC6A9","1",43991500,44031467,-1,"protein_coding","solute carrier family 6 (neurotransmitter transporter, glycine), member 9 [Source:HGNC Symbol;Acc:HGNC:11056]"
"607","ENSG00000135821",19973.4000047829,3.04139431932712,0.276017955970145,11.0188277738572,3.10070623389806e-28,1.95667482968276e-25,2752,"GLUL","1",182381704,182392206,-1,"protein_coding","glutamate-ammonia ligase [Source:HGNC Symbol;Acc:HGNC:4341]"
"953","ENSG00000164647",1885.61489540935,1.54719062113167,0.142632015152421,10.8474287450703,2.05114410971615e-27,1.24258310166604e-24,26872,"STEAP1","7",90154375,90164829,1,"protein_coding","six transmembrane epithelial antigen of the prostate 1 [Source:HGNC Symbol;Acc:HGNC:11378]"
"846","ENSG00000157150",194.419230565533,2.90878364671798,0.26851081160558,10.8330224370657,2.40096952320842e-27,1.3985647472689e-24,7079,"TIMP4","3",12153051,12159351,-1,"protein_coding","TIMP metallopeptidase inhibitor 4 [Source:HGNC Symbol;Acc:HGNC:11823]"
"1433","ENSG00000276600",308.766133363223,-1.76082839668027,0.162985378553779,-10.8035973061182,3.30976813430389e-27,1.85653475533453e-24,338382,"RAB7B","1",205976740,206003461,-1,"protein_coding","RAB7B, member RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:30513]"
"927","ENSG00000163697",2417.25697073947,0.917524262526063,0.0859611360954419,10.6737102858592,1.35120796933423e-26,7.30858739127391e-24,323,"APBB2","4",40810027,41216714,-1,"protein_coding","amyloid beta (A4) precursor protein-binding, family B, member 2 [Source:HGNC Symbol;Acc:HGNC:582]"
"412","ENSG00000116285",3268.63191573428,2.44021983043098,0.229406360355791,10.637106253926,2.00252150179172e-26,1.04579959119433e-23,54206,"ERRFI1","1",8004404,8026308,-1,"protein_coding","ERBB receptor feedback inhibitor 1 [Source:HGNC Symbol;Acc:HGNC:18185]"
"1181","ENSG00000181467",614.694820343917,-1.26188921164387,0.118695700126826,-10.6312967554473,2.13128174665814e-26,1.07594206843792e-23,5912,"RAP2B","3",153162270,153167173,1,"protein_coding","RAP2B, member of RAS oncogene family [Source:HGNC Symbol;Acc:HGNC:9862]"
"1200","ENSG00000183044",534.268135899311,1.00628636891544,0.0950895908873383,10.5825081328585,3.59211467735064e-26,1.7549218318863e-23,18,"ABAT","16",8674565,8784575,1,"protein_coding","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]"
"905","ENSG00000162692",501.804184764929,-3.53333473074742,0.33435835594121,-10.5675083872247,4.21545537429194e-26,1.99509598886411e-23,7412,"VCAM1","1",100719742,100739045,1,"protein_coding","vascular cell adhesion molecule 1 [Source:HGNC Symbol;Acc:HGNC:12663]"
"932","ENSG00000163884",574.142864572114,4.53724566859663,0.431748522861205,10.5090010233926,7.85208640078064e-26,3.60363177393402e-23,28999,"KLF15","3",126342635,126357442,-1,"protein_coding","Kruppel-like factor 15 [Source:HGNC Symbol;Acc:HGNC:14536]"
"1425","ENSG00000273259",2004.06797116422,3.36549839921695,0.323466711931181,10.4044659777324,2.36578827408995e-25,1.05381951209095e-22,12,"SERPINA3","14",94592058,94624646,1,"protein_coding","Serpin peptidase inhibitor, clade A (Alpha-1 antiproteinase, antitrypsin), member 3, isoform CRA_c  [Source:UniProtKB/TrEMBL;Acc:A0A024R6P0]"
"350","ENSG00000110756",990.645486606917,1.49026598111578,0.147018214848884,10.136607784604,3.80069009637909e-24,1.64461290027604e-21,11234,"HPS5","11",18278668,18322198,-1,"protein_coding","Hermansky-Pudlak syndrome 5 [Source:HGNC Symbol;Acc:HGNC:17022]"
"437","ENSG00000119138",1717.46623459215,2.1278755378679,0.211779275958819,10.0476098439475,9.41225857250466e-24,3.95968489112731e-21,687,"KLF9","9",70384597,70414624,-1,"protein_coding","Kruppel-like factor 9 [Source:HGNC Symbol;Acc:HGNC:1123]"
"129","ENSG00000077684",1762.18309743193,1.18958326792683,0.118691652250111,10.0224678431479,1.2143230641867e-23,4.97051967759663e-21,79960,"JADE1","4",128809623,128875224,1,"protein_coding","jade family PHD finger 1 [Source:HGNC Symbol;Acc:HGNC:30027]"
"270","ENSG00000103502",3348.30312527958,0.839753280171523,0.0839103821903433,10.0077399035869,1.40935370011548e-23,5.61701626006549e-21,10423,"CDIPT","16",29858357,29863736,-1,"protein_coding","CDP-diacylglycerol--inositol 3-phosphatidyltransferase [Source:HGNC Symbol;Acc:HGNC:1769]"
"988","ENSG00000166482",27413.4128904298,-0.949287568922098,0.095347414985219,-9.9560913011565,2.37205922024341e-23,9.21149663861192e-21,4239,"MFAP4","17",19383442,19387240,-1,"protein_coding","microfibrillar-associated protein 4 [Source:HGNC Symbol;Acc:HGNC:7035]"
"1239","ENSG00000185950",2275.98209759502,2.16650967707574,0.21997182711351,9.84903251250344,6.92069371741244e-23,2.62034765875528e-20,8660,"IRS2","13",109752698,109786568,-1,"protein_coding","insulin receptor substrate 2 [Source:HGNC Symbol;Acc:HGNC:6126]"
"977","ENSG00000165995",513.109573436338,3.00661382913942,0.305925153417678,9.82793927060489,8.53472690507217e-23,3.15264485310532e-20,783,"CACNB2","10",18140677,18541869,1,"protein_coding","calcium channel, voltage-dependent, beta 2 subunit [Source:HGNC Symbol;Acc:HGNC:1402]"
"264","ENSG00000103196",3096.15933899728,2.62603420335245,0.267470544930133,9.81803138001011,9.41644065436716e-23,3.39552365977121e-20,83716,"CRISPLD2","16",84819984,84920768,1,"protein_coding","cysteine-rich secretory protein LCCL domain containing 2 [Source:HGNC Symbol;Acc:HGNC:25248]"
"1363","ENSG00000211445",12537.1799334237,3.7701828693071,0.385630163156208,9.7766804298965,1.41784625328992e-22,4.99378639676183e-20,2878,"GPX3","5",151020438,151028993,1,"protein_coding","glutathione peroxidase 3 [Source:HGNC Symbol;Acc:HGNC:4555]"
"851","ENSG00000157510",502.245335458258,1.82248106240125,0.188076126247709,9.69012441271215,3.32123847652602e-22,1.14318538015879e-19,134265,"AFAP1L1","5",149271871,149341802,1,"protein_coding","actin filament associated protein 1-like 1 [Source:HGNC Symbol;Acc:HGNC:26714]"
"1300","ENSG00000197043",14235.8891385396,0.954687000916644,0.0993535823447688,9.6089841793904,7.32682279021295e-22,2.41227676429946e-19,309,"ANXA6","5",151100712,151157882,-1,"protein_coding","annexin A6 [Source:HGNC Symbol;Acc:HGNC:544]"
"1381","ENSG00000221869",1996.6227385359,1.51593635980909,0.157725271628081,9.61124583372849,7.16764185744525e-22,2.41227676429946e-19,1052,"CEBPD","8",47736909,47739086,-1,"protein_coding","CCAAT/enhancer binding protein (C/EBP), delta [Source:HGNC Symbol;Acc:HGNC:1835]"
"667","ENSG00000139289",2896.74376144142,-1.07092614947875,0.112128921986785,-9.55084674411619,1.2864052664736e-21,4.14523569377505e-19,22822,"PHLDA1","12",76025447,76033932,-1,"protein_coding","pleckstrin homology-like domain, family A, member 1 [Source:HGNC Symbol;Acc:HGNC:8933]"
"546","ENSG00000131389",738.395170724894,-1.96399622611386,0.205869628667721,-9.53999984759189,1.42832524761347e-21,4.50666372398042e-19,6533,"SLC6A6","3",14402576,14489349,1,"protein_coding","solute carrier family 6 (neurotransmitter transporter), member 6 [Source:HGNC Symbol;Acc:HGNC:11052]"
"857","ENSG00000158246",70.9156124341666,2.34457248798795,0.246715796123635,9.50313082836833,2.03672776401807e-21,6.29515142572522e-19,115572,"FAM46B","1",27005020,27012836,-1,"protein_coding","family with sequence similarity 46, member B [Source:HGNC Symbol;Acc:HGNC:28273]"
"735","ENSG00000145777",152.344620594276,-2.71541754587152,0.288503128555667,-9.41209046662927,4.86365826041065e-21,1.47320208707839e-18,85480,"TSLP","5",111070062,111078024,1,"protein_coding","thymic stromal lymphopoietin [Source:HGNC Symbol;Acc:HGNC:30743]"
"1179","ENSG00000181061",2495.79383552303,1.26971866275926,0.135468328424586,9.37280822407212,7.06278770168713e-21,2.09737097533434e-18,25994,"HIGD1A","3",42784298,42804531,-1,"protein_coding","HIG1 hypoxia inducible domain family, member 1A [Source:HGNC Symbol;Acc:HGNC:29527]"
"848","ENSG00000157214",3042.42442776058,1.99782070002371,0.213890144513971,9.34040558326528,9.59657959588906e-21,2.79500380730269e-18,261729,"STEAP2","7",90167590,90238137,1,"protein_coding","STEAP family member 2, metalloreductase [Source:HGNC Symbol;Acc:HGNC:17885]"
"326","ENSG00000108821",102624.279264829,-1.27736598509061,0.137384692034572,-9.29773154616943,1.43473949887691e-20,4.02391290935014e-18,1277,"COL1A1","17",50183289,50201632,-1,"protein_coding","collagen, type I, alpha 1 [Source:HGNC Symbol;Acc:HGNC:2197]"
"796","ENSG00000151726",1467.32301351221,1.57907014875436,0.169811394266279,9.29896462824066,1.4181992931083e-20,4.02391290935014e-18,2180,"ACSL1","4",184755595,184826818,-1,"protein_coding","acyl-CoA synthetase long-chain family member 1 [Source:HGNC Symbol;Acc:HGNC:3569]"
"486","ENSG00000124766",1291.40790053461,-2.33654878399862,0.251630061493869,-9.28565041127071,1.60722512815131e-20,4.42571355742756e-18,6659,"SOX4","6",21592769,21598619,1,"protein_coding","SRY (sex determining region Y)-box 4 [Source:HGNC Symbol;Acc:HGNC:11200]"
"684","ENSG00000141401",619.513260387526,2.19485418360676,0.237408094364114,9.24506887385439,2.35089257578718e-20,6.35790501076729e-18,3613,"IMPA2","18",11981025,12030883,1,"protein_coding","inositol(myo)-1(or 4)-monophosphatase 2 [Source:HGNC Symbol;Acc:HGNC:6051]"
"3","ENSG00000003402",3368.72335143759,1.16249955008498,0.126122439896528,9.21723010622617,3.04873787383211e-20,7.8593561749772e-18,8837,"CFLAR","2",201116104,201176687,1,"protein_coding","CASP8 and FADD-like apoptosis regulator [Source:HGNC Symbol;Acc:HGNC:1876]"
"372","ENSG00000112837",2671.19815511368,-1.63666383201907,0.177535574530158,-9.21879367755134,3.00461316320209e-20,7.8593561749772e-18,9096,"TBX18","6",84687351,84764519,-1,"protein_coding","T-box 18 [Source:HGNC Symbol;Acc:HGNC:11595]"
"852","ENSG00000157514",2226.72449000203,3.34428297469443,0.362847481250102,9.21677329320994,3.06174984697032e-20,7.8593561749772e-18,1831,"TSC22D3","X",107713221,107777342,-1,"protein_coding","TSC22 domain family, member 3 [Source:HGNC Symbol;Acc:HGNC:3051]"
"1048","ENSG00000169715",553.702542171806,2.16215512840955,0.235815109493224,9.16885747082156,4.78058821094917e-20,1.18691817139058e-17,4493,"MT1E","16",56625475,56627112,1,"protein_coding","metallothionein 1E [Source:HGNC Symbol;Acc:HGNC:7397]"
"1298","ENSG00000196975",4931.1015623731,1.12894750999333,0.123110301964486,9.17021152558784,4.72091763589933e-20,1.18691817139058e-17,307,"ANXA4","2",69644425,69826464,1,"protein_coding","annexin A4 [Source:HGNC Symbol;Acc:HGNC:542]"
"523","ENSG00000128923",1481.50742728071,1.05791485275872,0.116142320966588,9.10878002053243,8.33135134577618e-20,2.03513413115775e-17,54629,"FAM63B","15",58771192,58861900,1,"protein_coding","family with sequence similarity 63, member B [Source:HGNC Symbol;Acc:HGNC:26954]"
"700","ENSG00000143320",1513.74032144022,-1.70763401563628,0.187609511863928,-9.10206523470308,8.86301746871434e-20,2.13064126291553e-17,1382,"CRABP2","1",156699606,156705816,-1,"protein_coding","cellular retinoic acid binding protein 2 [Source:HGNC Symbol;Acc:HGNC:2339]"
"1149","ENSG00000177283",147.951649785997,2.4651788992352,0.272263380413465,9.05439025803441,1.37332901502885e-19,3.24985436447062e-17,8325,"FZD8","10",35638249,35642278,-1,"protein_coding","frizzled class receptor 8 [Source:HGNC Symbol;Acc:HGNC:4046]"
"951","ENSG00000164484",814.401987519494,-1.18488989788323,0.130895716018242,-9.05216712912211,1.40158570261625e-19,3.26569468709586e-17,114801,"TMEM200A","6",130365734,130443063,1,"protein_coding","transmembrane protein 200A [Source:HGNC Symbol;Acc:HGNC:21075]"
"853","ENSG00000157613",2823.8992896954,-0.967541096752941,0.107808249887197,-8.97464802336845,2.84259180835568e-19,6.5228868087192e-17,90993,"CREB3L1","11",46277661,46321422,1,"protein_coding","cAMP responsive element binding protein 3-like 1 [Source:HGNC Symbol;Acc:HGNC:18856]"
"108","ENSG00000072958",2239.04534337653,1.10184715546394,0.1232394266198,8.94070335837567,3.86701134155032e-19,8.74117712951934e-17,8907,"AP1M1","19",16197578,16245907,1,"protein_coding","adaptor-related protein complex 1, mu 1 subunit [Source:HGNC Symbol;Acc:HGNC:13667]"
"27","ENSG00000019995",2150.37632011757,0.983999268221181,0.111167111344814,8.85153222313252,8.63258413928625e-19,1.9226542174925e-16,54764,"ZRANB1","10",124942123,124988189,1,"protein_coding","zinc finger, RAN-binding domain containing 1 [Source:HGNC Symbol;Acc:HGNC:18224]"
"19","ENSG00000012048",241.117643587367,-1.40352742335579,0.158893365112176,-8.83314053022241,1.01777025343088e-18,2.23393195481315e-16,672,"BRCA1","17",43044295,43125483,-1,"protein_coding","breast cancer 1, early onset [Source:HGNC Symbol;Acc:HGNC:1100]"
"824","ENSG00000154734",29872.9878556811,2.18781090856898,0.248577138462816,8.8013359639517,1.3519694830799e-18,2.92508254589215e-16,9510,"ADAMTS1","21",26835747,26845409,-1,"protein_coding","ADAM metallopeptidase with thrombospondin type 1 motif, 1 [Source:HGNC Symbol;Acc:HGNC:217]"
"1230","ENSG00000185432",3844.86229573871,2.27103730440435,0.259706998619893,8.74461341616842,2.23780498179832e-18,4.77345865483599e-16,25840,"METTL7A","12",50923472,50932517,1,"protein_coding","methyltransferase like 7A [Source:HGNC Symbol;Acc:HGNC:24550]"
"877","ENSG00000159884",556.366128273062,1.06266588913801,0.121870817148418,8.71960912384682,2.79163824974609e-18,5.87213351283397e-16,203260,"CCDC107","9",35658290,35661511,1,"protein_coding","coiled-coil domain containing 107 [Source:HGNC Symbol;Acc:HGNC:28465]"
"923","ENSG00000163513",13345.3548115132,1.47090203979811,0.16875358437875,8.71627139188235,2.87513648441848e-18,5.96492356938601e-16,7048,"TGFBR2","3",30606502,30694142,1,"protein_coding","transforming growth factor, beta receptor II (70/80kDa) [Source:HGNC Symbol;Acc:HGNC:11773]"
"664","ENSG00000139132",1181.85578266924,2.05688309768939,0.236535588526638,8.69587156208315,3.44177591117543e-18,7.0440129965881e-16,121512,"FGD4","12",32399529,32646050,1,"protein_coding","FYVE, RhoGEF and PH domain containing 4 [Source:HGNC Symbol;Acc:HGNC:19125]"
"1274","ENSG00000196136",739.309178654879,3.1963074736077,0.370210744612411,8.6337512352702,5.93720463596475e-18,1.19891952282248e-15,NA,"SERPINA3","14",94612384,94624055,1,"protein_coding","serpin peptidase inhibitor, clade A (alpha-1 antiproteinase, antitrypsin), member 3 [Source:HGNC Symbol;Acc:HGNC:16]"
"1109","ENSG00000172986",767.400836637411,-1.64194435320163,0.190239803292959,-8.63091910725501,6.08609169335616e-18,1.21281393020894e-15,727936,"GXYLT2","3",72888073,72998138,1,"protein_coding","glucoside xylosyltransferase 2 [Source:HGNC Symbol;Acc:HGNC:33383]"
"1202","ENSG00000183160",2936.72405730511,-1.17321055964281,0.136033880240444,-8.62439972725271,6.44297046117599e-18,1.26725698226637e-15,338773,"TMEM119","12",108589846,108598320,-1,"protein_coding","transmembrane protein 119 [Source:HGNC Symbol;Acc:HGNC:27884]"
"269","ENSG00000103485",876.983547374098,-1.12050846314556,0.130413296362066,-8.59198022289614,8.54831054946879e-18,1.65979696502186e-15,23475,"QPRT","16",29679008,29698699,1,"protein_coding","quinolinate phosphoribosyltransferase [Source:HGNC Symbol;Acc:HGNC:9755]"
"1121","ENSG00000173838",68.6105850526452,3.42349509217422,0.399943746316813,8.55994155103585,1.1292475687272e-17,2.1648676491612e-15,162333,"MARCH10","17",62701314,62808344,-1,"protein_coding","membrane-associated ring finger (C3HC4) 10, E3 ubiquitin protein ligase [Source:HGNC Symbol;Acc:HGNC:26655]"
"1049","ENSG00000169738",602.04981640171,1.96040513507749,0.230200228841999,8.51608682119529,1.65035124503371e-17,3.12432120075444e-15,51181,"DCXR","17",82035136,82037732,-1,"protein_coding","dicarbonyl/L-xylulose reductase [Source:HGNC Symbol;Acc:HGNC:18985]"
"1307","ENSG00000197321",9110.11696451622,-0.699698198872933,0.0822321278235962,-8.50881787193834,1.75715593343123e-17,3.28544772985383e-15,6840,"SVIL","10",29457338,29736781,-1,"protein_coding","supervillin [Source:HGNC Symbol;Acc:HGNC:11480]"
"747","ENSG00000146592",694.975972522806,-2.0498113100369,0.241239022545699,-8.49701382639535,1.94530272746781e-17,3.59287924481707e-15,9586,"CREB5","7",28299321,28825894,1,"protein_coding","cAMP responsive element binding protein 5 [Source:HGNC Symbol;Acc:HGNC:16844]"
"205","ENSG00000099860",373.609719689536,1.41592439839579,0.167704259704206,8.44298410125763,3.09337190020938e-17,5.64447197935795e-15,4616,"GADD45B","19",2476122,2478259,1,"protein_coding","growth arrest and DNA-damage-inducible, beta [Source:HGNC Symbol;Acc:HGNC:4096]"
"517","ENSG00000128311",323.623146252674,1.34158940745348,0.159010398546742,8.43711744461233,3.25259594982826e-17,5.86435305477964e-15,7263,"TST","22",37010859,37020183,-1,"protein_coding","thiosulfate sulfurtransferase (rhodanese) [Source:HGNC Symbol;Acc:HGNC:12388]"
"580","ENSG00000134253",144.951068185965,-1.98700571939163,0.235867466692688,-8.42424666382878,3.63078666582418e-17,6.46920753575379e-15,80263,"TRIM45","1",117111060,117122587,-1,"protein_coding","tripartite motif containing 45 [Source:HGNC Symbol;Acc:HGNC:19018]"
"1410","ENSG00000253368",1051.87338068471,1.99298365819333,0.236818150278587,8.4156710786265,3.90652019672871e-17,6.87956376505306e-15,388610,"TRNP1","1",26993707,27000898,1,"protein_coding","TMF1-regulated nuclear protein 1 [Source:HGNC Symbol;Acc:HGNC:34348]"
"579","ENSG00000134243",5569.87422804189,2.21273109333576,0.263715448078884,8.39060096575714,4.8366335184881e-17,8.41963386637957e-15,6272,"SORT1","1",109309568,109397951,-1,"protein_coding","sortilin 1 [Source:HGNC Symbol;Acc:HGNC:11186]"
"901","ENSG00000162616",1478.62500195149,1.36934250607851,0.163262423330718,8.38737094637297,4.97134439670922e-17,8.55579669183649e-15,11080,"DNAJB4","1",77979175,78017964,1,"protein_coding","DnaJ (Hsp40) homolog, subfamily B, member 4 [Source:HGNC Symbol;Acc:HGNC:14886]"
"788","ENSG00000150907",688.476650962791,2.30496442388122,0.27635095039428,8.34071466225334,7.3842882440139e-17,1.25657354444484e-14,2308,"FOXO1","13",40555667,40666597,-1,"protein_coding","forkhead box O1 [Source:HGNC Symbol;Acc:HGNC:3819]"
"1008","ENSG00000167549",2012.78985108593,2.38044046101997,0.287112193349437,8.29097654561401,1.12322434070766e-16,1.89013696000194e-14,84940,"CORO6","17",29614756,29622907,-1,"protein_coding","coronin 6 [Source:HGNC Symbol;Acc:HGNC:21356]"
"631","ENSG00000137076",20054.8384767669,0.638116630872097,0.0770161139830293,8.28549504604592,1.17618806797515e-16,1.95751299884435e-14,7094,"TLN1","9",35696948,35732395,-1,"protein_coding","talin 1 [Source:HGNC Symbol;Acc:HGNC:11845]"
"567","ENSG00000132970",1317.16857123589,1.08140845100658,0.130730540411014,8.27204146488381,1.316844862074e-16,2.16778428653377e-14,10810,"WASF3","13",26557703,26688948,1,"protein_coding","WAS protein family, member 3 [Source:HGNC Symbol;Acc:HGNC:12734]"
"571","ENSG00000133142",3090.51775861329,1.47987220298306,0.179407703343081,8.24865474228327,1.60187498449853e-16,2.60864480002475e-14,79921,"TCEAL4","X",103576231,103587736,1,"protein_coding","transcription elongation factor A (SII)-like 4 [Source:HGNC Symbol;Acc:HGNC:26121]"
"761","ENSG00000148120",677.473392933758,1.23763748703479,0.150979302547632,8.19739835958201,2.45645351848253e-16,3.9161040565703e-14,84909,"C9orf3","9",94726701,95087218,1,"protein_coding","chromosome 9 open reading frame 3 [Source:HGNC Symbol;Acc:HGNC:1361]"
"922","ENSG00000163491",152.333491281033,-2.07305359103875,0.252883641350438,-8.19765794247633,2.45115643046511e-16,3.9161040565703e-14,152110,"NEK10","3",27110085,27369460,-1,"protein_coding","NIMA-related kinase 10 [Source:HGNC Symbol;Acc:HGNC:18592]"
"1208","ENSG00000183722",3035.76768508864,0.709162956566951,0.0867529407819207,8.17451201279323,2.97065731264786e-16,4.68652135417207e-14,10186,"LHFP","13",39342892,39603528,-1,"protein_coding","lipoma HMGIC fusion partner [Source:HGNC Symbol;Acc:HGNC:6586]"
"260","ENSG00000103064",1735.71982860339,1.37532680433612,0.168769287538621,8.14915334652574,3.66480987701953e-16,5.72201500901658e-14,9057,"SLC7A6","16",68264516,68301823,1,"protein_coding","solute carrier family 7 (amino acid transporter light chain, y+L system), member 6 [Source:HGNC Symbol;Acc:HGNC:11064]"
"907","ENSG00000162704",2647.51641081926,0.896589539873543,0.11046644687308,8.1163970169483,4.80227870655793e-16,7.36550553097655e-14,10092,"ARPC5","1",183620846,183635757,-1,"protein_coding","actin related protein 2/3 complex, subunit 5, 16kDa [Source:HGNC Symbol;Acc:HGNC:708]"
"1171","ENSG00000179593",68.3800745222305,8.90550233947416,1.09726597228736,8.11608357899749,4.81469163134155e-16,7.36550553097655e-14,247,"ALOX15B","17",8039017,8049134,1,"protein_coding","arachidonate 15-lipoxygenase, type B [Source:HGNC Symbol;Acc:HGNC:434]"
